industry_id,name,layer_id,primary_layer,industry_group_id,industry_group,definition,includes,excludes,common_specialties,keywords
DCS-L1-DEV-001,Data Center Developers,DCS-L1,1,DCS-L1-DEV,Development & Real Estate,"Organizations that originate, entitle, finance and develop data center facilities or campuses.",greenfield data center development | build-to-suit development | powered shell development,general contracting | colocation operations after facility turnover,hyperscale campuses | powered shells | build-to-suit | brownfield redevelopment,data center developer | campus development | powered shell | build-to-suit
DCS-L1-REA-001,Site Selection & Data Center Real Estate,DCS-L1,1,DCS-L1-DEV,Development & Real Estate,"Organizations focused on locating, acquiring, leasing, brokering or advising on land and real estate for data center development or occupancy.",site selection | land acquisition | data center brokerage | location strategy,facility development | general commercial brokerage with no data center practice,land sourcing | brokerage | market analysis | site diligence,site selection | data center real estate | land acquisition | brokerage
DCS-L1-UTL-001,Electric Utilities & Grid Providers,DCS-L1,1,DCS-L1-ENE,Utilities & Energy,"Organizations providing grid interconnection, transmission or distribution of electricity to data center sites.",electric utilities | grid operators | transmission providers | distribution utilities,generator manufacturers | UPS manufacturers | electrical contractors,interconnection | substation service | transmission | distribution,electric utility | grid | transmission | distribution | interconnection
DCS-L1-ENE-001,Power Generation & Energy Supply,DCS-L1,1,DCS-L1-ENE,Utilities & Energy,Organizations developing or supplying utility-scale electrical generation or contracted energy used to serve data center demand.,renewable generation | gas generation | nuclear generation | power purchase supply,backup generators installed at data centers | critical power equipment,PPA supply | renewables | nuclear | natural gas generation,power generation | energy supply | PPA | renewable energy | nuclear
DCS-L1-WTR-001,Water & Utility Infrastructure,DCS-L1,1,DCS-L1-ENE,Utilities & Energy,"Organizations providing water, wastewater or related municipal utility infrastructure needed to support data center sites.",water utilities | wastewater providers | water infrastructure,facility cooling equipment | mechanical contractors,potable water | reclaimed water | wastewater | utility extensions,water utility | wastewater | reclaimed water | water infrastructure
DCS-L1-ENG-001,Architecture & Engineering,DCS-L1,1,DCS-L1-DES,Design & Engineering,"Firms providing multidisciplinary architecture, civil, structural and facility engineering for data center buildings and campuses.",architectural design | civil engineering | structural engineering | multidiscipline design,MEP-only engineering | general contracting,architecture | civil | structural | campus planning,architecture | engineering | A&E | mission critical design
DCS-L1-ENG-002,MEP Engineering,DCS-L1,1,DCS-L1-DES,Design & Engineering,"Engineering firms primarily responsible for mechanical, electrical and plumbing system design in data center facilities.",electrical design | mechanical design | plumbing design | power studies,equipment manufacturing | mechanical or electrical contracting,power studies | cooling design | electrical design | mechanical design,MEP | electrical engineering | mechanical engineering | power design
DCS-L1-CON-001,General Contractors & Construction Managers,DCS-L1,1,DCS-L1-CON,Construction,"Organizations responsible for overall construction execution, subcontractor coordination, schedule and delivery of data center facilities.",general contracting | construction management | design-build construction,specialty electrical contracting | white-space IT deployment,mission critical construction | design-build | construction management,general contractor | construction manager | mission critical construction | GC
DCS-L1-CON-002,Civil & Site Contractors,DCS-L1,1,DCS-L1-CON,Construction,"Contractors performing grading, excavation, underground utilities, roads, drainage and other site preparation work.",grading | excavation | stormwater | underground utilities,building electrical work | IT deployment,earthwork | roads | site concrete | utility extensions,civil contractor | site work | grading | excavation | stormwater
DCS-L1-CON-003,Electrical Contractors,DCS-L1,1,DCS-L1-CON,Construction,"Contractors installing facility electrical systems such as switchgear, busway, feeders, grounding and medium-voltage distribution.",medium-voltage installation | switchgear installation | busway installation | grounding,electrical equipment manufacturing | rack-level IT installation,substation installation | generator connections | busway | power distribution,electrical contractor | mission critical electrical | switchgear installation
